"motivator_number","motivator","model","model_year","guest_signals","recommended_trim_path","on_lot_handles","demo_60_seconds","translate_line","invite_next_step","coach_roleplay_prompt","compliance_note"
"4","Security","sonata","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se -> sel","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","sonata","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","n_line","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","sonata","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","sonata_hybrid","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","sonata_hybrid","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","blue -> sel","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","sonata_hybrid","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","blue -> sel","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","sonata_hybrid","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","sonata_hybrid","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","sonata_hybrid","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","tucson_awd","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","sel_convenience -> limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","tucson_awd","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","sel_convenience","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","tucson_awd","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se -> sel_convenience","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","tucson_awd","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","se -> sel_convenience -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","tucson_awd","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","xrt -> limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","tucson_awd","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_convenience -> limited","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","tucson_hybrid","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","sel -> limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","tucson_hybrid","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","blue_se_awd -> sel","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","tucson_hybrid","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","blue_se_awd -> sel","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","tucson_hybrid","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","tucson_hybrid","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","tucson_hybrid","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel -> limited","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","tucson_phev","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","limited","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","tucson_phev","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","sel","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","tucson_phev","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","sel","Keep it simple: confirm driving pattern, then show charging plan and the convenience features that make ownership easy.","Show charge port + charging basics (home vs public) + one simple control feature (app/driver settings).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","tucson_phev","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel -> limited","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + stability/traction story; confirm expectations on what the tech does/doesn’t do.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","tucson_phev","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","limited","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","tucson_phev","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel -> limited","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting EV range/charging time unless verified on the window sticker or Hyundai specs for this exact vehicle. Feature availability varies by trim/package—confirm on the unit in front of you."
"1","Self-Validation","venue","2026","Asks for the ‘best’ trim, standout design, premium feel, or status features.","sel_2_tone_roof","Start with top-trim walkaround cues (design, materials, tech). Confirm what ‘premium’ means to them.","Show 1 exterior presence cue + 1 interior materials/tech cue + 1 convenience feature they’ll use daily.","“This trim is designed to feel premium every time you get in — it’s the one that makes the biggest impression.”","“If we can get this exact trim in the color you want, are you ready to move forward today?”","Practice turning a ‘Why is this more?’ question into a benefits-first explanation tied to premium feel.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"2","Autonomy","venue","2026","Wants a simple process, hates pressure, values flexibility and control over the decision.","se_at -> sel_at","Offer 2 clear options and let them choose the path (features vs payment vs availability).","Demonstrate ease-of-use: phone pairing, driver settings, and one ‘friction remover’ feature.","“This is the trim that keeps things straightforward — it gives you control without the extra noise.”","“Which direction do you want to go: best value, most convenience, or quickest availability?”","Practice giving two options and pausing (no over-talking) so the guest stays in control.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"3","Prudence","venue","2026","Compares trims, asks for data, wants ‘smart value’ and long-term cost clarity.","se_at","Use a simple value ladder: base value → key upgrade → best overall value. Keep it factual.","Show the ‘value delta’ feature: the one upgrade that clearly justifies stepping up (or staying put).","“If you’re making the smart decision, this trim gives you the best return for what you actually use.”","“Want to compare these two trims side-by-side on price and key features?”","Practice answering ‘What’s the difference?’ with 3 bullets: safety, comfort, tech (verified).","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"4","Security","venue","2026","Mentions family safety, weather, reliability, driver-assist, or ‘peace of mind.’","sel_at","Confirm their safety priorities, then demonstrate the confidence features that match.","Show driver-assist basics + visibility + one stability/traction story relevant to local roads.","“This trim is built to help you feel confident — it’s about peace of mind on every drive.”","“If this meets your safety checklist, should we lock in the exact one you want?”","Practice explaining driver-assist as ‘support’ (not autonomous driving) and confirming expectations.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"5","Reward","venue","2026","Wants performance, style, ‘fun factor,’ rugged look, or a trim that feels exciting.","sel_2_tone_roof","Lean into emotional benefits: look, feel, and capability. Tie features to lifestyle.","Show 1 design cue + 1 performance/capability cue + 1 ‘wow’ tech feature.","“This is the trim that feels like a reward — it’s the one you’ll be excited to drive.”","“If this is the one that makes you smile, want to take it for a quick drive right now?”","Practice converting ‘I want the sporty one’ into a tight feature story + next step.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
"6","Connection","venue","2026","Talks about family/friends, comfort for passengers, space, and shared experiences.","sel_at","Seat them where they’ll ride most. Show comfort/space and the ‘together’ features.","Demonstrate passenger comfort: second-row access, storage, and a shared-tech feature.","“This trim is about making everyone comfortable — it’s designed for the people riding with you.”","“Want to sit in both seating layouts so you can feel the difference?”","Practice framing features as ‘how your family uses it’ rather than listing specs.","Avoid quoting MPG/ratings unless verified on the window sticker/spec sheet. Feature availability varies by trim/package—confirm on the unit in front of you."
